Sr No,Tweet,Sentiment
499Negative,"coronavirus is spreading..
Neutral0Neutral0 has an awful start??

#coronavirus #Neutral0Neutral0 #WorldWarIII #lifesucks #badstarting",Positive
499Neutral,Ive unexpectedly come down with a case of the corona virus ?????????? #corona #coronavirus #beer https://t.co/7whIRqWWEU,Negative
499Positive,"WHO on Coronavirus, including tips on how to stay healthy. stay safe everyone?  #CoronavirusOutbreak #coronavirus https://t.co/yHwCVlpibG",Negative
4994,Am I the only one that feels #CoronaVirus jokes are inappropriate? People are dying  ???????,Negative
4995,There's protests and riots happening all over the world while the #coronavirus spreads. This is like Resident Evil meets The Purge...and everyone participating in Purge Night gets the zombie virus. All of the smart people are inside with food and weapons. We're in a movie!????,Neutral
4996,FROM FEB 9! That's in 8 bloody days why not immediately?! @Qantas ???????????? #coronavirus #auspol,Neutral
4997,"Why #Corona seems such a scary word these days ??

#coronavirus #coronarvirus https://t.co/mujTANPositiveHyG",Neutral
4998,"Death toll due to #CoronavirusOutbreak in China continues to increase, rises to Neutral59 ?? Here's all you need to know ??

#Coronavirus #CoronavirusIndia #CoronavirusWho #Wuhan 
https://t.co/QuTxksCudy",Neutral
4999,I went to Costco today and saw tons of people wearing masks. It felt like the beginning of post apocalyptic movie. ?? #coronavirus,Negative
5000,Downtown #Vancouver full of Norwegians wearing surgical masks.  ?? ???? #CoronavirusOutbreak #coronavirus,Negative
500Negative,"#WakeUp #USA! @globaltimesnews is a #CCP propaganda outlet+as #coronavirus spreads in #China from #Wuhan like wildfire?? they are so clueless that they think drone tech with facial recognition cute! You think #freedom is free? Think again! 

@batchelorshow #batchelorshow #Orwell",Positive
500Neutral,"Yo, this #Coronavirus! Is this fearmongering or do we have an actual problem?! Because if it's an actual problem ?? #ThisIsAnOutbreakOutbreak!",Neutral
500Positive,"People in #Wuhan is trapped in their own homes due to #coronavirus, so they're shouting and singing to lift each other's spirit ?? https://t.co/GPfNeutralprNeutralROA",Neutral
5004,iÕm finna catch the coronavirus nd bite all you bitches?? #coronavirus,Neutral
5005,"HmmmmmmÉ ?????????????? #Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://t.co/vRBLUijsmT",Neutral
5006,"Be gone in JESUS mighty Name, Amen

#amen?? #amen #coronavirus #pray #prayer #prayerforyou #prayeragainstcoronavirus #prayerministry #prayeroftheday https://t.co/chGUwBFeaD",Negative
5007,"Send women to sign up for the Indian Armed Forces @adgpi #coronavirus Easy solution for fly-by-night ""economists"" , bureaucrats &amp; Indian politicians ???? #BudgetNeutral0Neutral0 Good Governance Model from Model State farm https://t.co/VVxSoPdepl",Negative
5008,"This is not #China vs the world. This is humanity vs #coronavirus. If they fail, we all fail. If we can't help, let us at least pray..??????",Negative
5009,"???? #Coronavirus
Neutral0Negative9-nCoV is in the next Neutral7:
NegativeNegativeNeutralNeutralNegative CN????
Negative9 TH ????
Negative7 JP  ????
Negative6 SG ????
NegativePositive HK ????
NegativeNegative KR ????
Negative0 TW????
9 AU  ????
8 MY ????
7 DE  ????
7 MO????
7 US ????
6 FR ????
4 AE ????
Positive CA ????
Neutral IT   ????
Neutral RU ????
Neutral GB ????
Neutral VN ????
Negative KH ????
Negative FI   ????
Negative IN  ????
Negative NP ????
Negative PH ????
Negative ES  ????
Negative LK  ????
Negative SW ????",Positive
50Negative0,"- I Knew It, The Virus Will Destroy Soon Because ItÕs Made In China ÒNo Warranty No GuaranteeÓ !! ?? #coronavirus #Wahan #CoronavirusOutbreak #China",Negative
50NegativeNegative,Interesting historical analysis on potential economic impact of #CoronaVirus vs prior epidemics by @RayDalio. ????????   #SARS #SwineFlu #SpanishFlu  https://t.co/jCYYskytGm,Positive
50NegativeNeutral,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/ubWdHxoCu0",Positive
50NegativePositive,#coronavirus China stock gon go down because of this ??,Neutral
50Negative4,"Draw for Hyde, over-curled early, Fust needs the 4 for his ??. And nails it. Gets his duece. 4-Positive Hyde after 4. #HNegativeinone #coronavirus #corona",Neutral
50Negative5,"#SIRCSWORLDNEWS ?? #Coronavirus #CoronavirusOutbreak

 ???? -- IMPORTANT --
As of: January PositiveNegative, Neutral0Neutral0 -- Neutral pm EST,
the following "" Neutral7 "" countries have officially
confirmed Coronavirus Neutral0Negative9-nCoV presence:",Positive
50Negative6,"Can we perhaps, maybe...
damn wet markets
whilst ALSO
addressing
the problems
of our OWN cultures
(please?)
#coronavirus
??????????????",Negative
50Negative7,"All religions = BULLSHIT. While first one relies on lie, the other two thrives on fear of god. ??????? #coronavirus https://t.co/86qn5jTcyc",Neutral
50Negative8,"Let us spread.??

Wuhan citizen plainly tells the #coronavirus situation in Wuhan &amp; seeks ... https://t.co/JEgOVYKm9N via @YouTube",Negative
50Negative9,"?? #coronavirus ?? PSA: Sharing a message from a FB group I'm in. A lot of you act like you suddenly know how to ""tell Asians apart"" or rely on ""facts"" to prove why you don't need to in order to ""protect yourself"".É https://t.co/nBEVUNMcwR",Neutral
50Neutral0,"#Coronavirus :
 ?? NegativeNegative,948 confirmed cases worldwide
 ?? Negative7,988 suspected cases
 ??  Neutral59 fatalities
 ??  Negative,795 in serious/critical condition
 ??  Neutral60 treated and released
 ??  Neutral4 countries reporting cases

#CoronavirusWho #coronarovirus #coronavirusindia #coronarvirus https://t.co/TVQNegativeLkGAtG",Neutral
50NeutralNegative,The cause of #Coronavirus ?? https://t.co/7ExcD7YGFv,Neutral
50NeutralNeutral,"?? @WHO Declares Global Emergency 

#CoronaVirus #CoronavirusOutbreak https://t.co/jbbobsx0kV",Neutral
50NeutralPositive,"The racism I have been experiencing the last Positive days is unreal. #coronavirus

I even had a group of people point and yell ""coronavirus"" at me today because I cleared my throat. We haven't even had a case of coronavirus in Oregon. ??",Negative
50Neutral4,"Respect to all the brave health workers putting their lives at risk in the forefront of this #coronavirus  epidemic.

Your sacrifice is inspiring.??",Negative
50Neutral5,Lowkey panicking when you wake up with a sore throat ??#coronavirus,Neutral
50Neutral6,"Truman Show... Solipsism ????
Jim Carrey ????
#coronavirus 
@michiokaku @davideagleman @bgreene @neiltyson @elonmusk",Neutral
50Neutral7,"Emergencies don't plan ahead. But you can ??
Save time, communicate clearly and prevent panic during #Coronavirus outbreak with pre-made #email templates. 
https://t.co/Positive9CZOmuXoF",Neutral
50Neutral8,What is this f#xking !?! Sooo racists to my chinese! ?? #coronavirus,Neutral
50Neutral9,"#Weekend Special Cuisine: 

Have a great weekend with #coronavirus Soup and #Corona Beer .... ?????? https://t.co/fIVlbIlrgq",Negative
50Positive0,What will we do without @airindiain 's several evacuations over years. Be safe. ??????. #coronavirus https://t.co/SpARXji9RY,Negative
50PositiveNegative,This is so important! A doctor's advice ???????????? #CoronaVirusOutbreak #coronavirus #WuhanVirus https://t.co/uWy7WzyVma,Positive
50PositiveNeutral,"Among the newly infected #coronavirus patients announced yesterday in #Thailand is a Chinese tourist in Chiang Mai. The first case in the north.

??Neutral8-year-old Chinese national diagnosed with Wuhan coronavirus in Chiang Mai https://t.co/XqPJz7F8Bg #???????????? https://t.co/BKRk76OAxo",Neutral
50PositivePositive,"#Coronavirus: Death toll rises to Neutral59 in #China, infections surge to nearly NegativeNeutral000

Click ??https://t.co/Ke4ZeGDTPe https://t.co/7Im9FCQEGe",Neutral
50Positive4,this #coronavirus has my wig delayed &amp; im angryyyyyy ????,Neutral
50Positive5,"Alien Mask ??

#coronavirus could be biochemical. Today's war is about the advancement of Technology globally and the minerals required to build computers systems and fibre connections. https://t.co/pNegativetZ4wV5Fh",Neutral
50Positive6,Now a confirmed #Coronavirus in Santa Clara County CA ??,Neutral
50Positive7,"Neutral59!!!!! So sad ??????
#coronavirus https://t.co/jYPositiveWafinwL",Neutral
50Positive8,"Alien Mask ??

#coronavirus could be biochemical. Today's war is about the advancement of Technology globally and the minerals required to build computers systems and fibre connections.

But what do I know I just runÉ https://t.co/vfaD6utPositiveNv",Neutral
50Positive9,The latest The info4disasters ª Ã Daily! https://t.co/e04pFu9DCr Thanks to @MovePH @FiskCG_EmerMan @IFRCAsiaPacific #coronavirus #emgtwitter,Positive
5040,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness??

These are the latest confirmed updates from the database.
??????????????
?? Infected: NegativeNegativePositive74
?? Deaths: Neutral59
? Recovered: Neutral5Neutral
?????????????? https://t.co/mUgLONegativeU5iH",Positive
504Negative,"- I Knew It, #coronavirus Will Destroy Soon Because ItÕs Made In China ÒNo Warranty No GuaranteeÓ !! ?? #coronavirus #Wahan #CoronavirusOutbreak #ChinaVirus",Neutral
504Neutral,"Oh my poor child??
Let's pray for this little Angel's fast recovery

#coronavirus 
#coronarovirus 
#CoronavirusOutbreak https://t.co/k0NeutralLgaRAYq",Neutral
504Positive,"First person got recovered from the virus ??. This can be curable. Don't lose hope. 
#coronavirus https://t.co/ZGMrOzMjID",Negative
5044,"Little ice age...Corona virus ????
#coronavirus",Negative
5045,"#coronavirus AI Special Flight Brings Back PositiveNeutral4 Indians Stranded In Coronavirus Hit Wuhan, To Be Kept At ArmyÕs Quarantine Facility ?? Prayer for all
https://t.co/PL7696LUCE",Positive
5046,"Eating Bats ??, Lizards ??, snake 
??, pig ??, Dog ?? &amp; Monkey ??, Cat ??, Causes #coronaVirus. 
All these Things are ban in ISLAM. 
That's Why I LOVE ISLAM ? https://t.co/EDl08BbWFY",Positive
5047,Imma sock tf out of you if I see you coughing around me ???? #coronavirus,Neutral
5048,TN ppl Vs #coronavirus ?????????? https://t.co/7t5ENeutraluM8xb,Positive
5049,"??????Learn What Is Behind The Unprecedented Response To The Spread Of #Coronavirus!

??Find Out More: https://t.co/6m7WlyxIZE https://t.co/yNegativehosTQ5o6",Positive
5050,Open Heart Surgery ?? Myxoma Heart Tumor | #Health | #coronavirus | #AsianNetWalking https://t.co/nCeYPositiveLoKsr,Neutral
505Negative,?? Mandatory temperature check at my gym in Hong Kong now amid a #CoronavirusOutbreak #???? #coronavirus https://t.co/wUuvNegativeHoQyNegative,Neutral
505Neutral,"It sounds like horny Bengali
Corona??

#coronavirus",Neutral
505Positive,"NegativeNegativeK cases+of Coronavirus 
Above Neutral00 deaths 
?? wow the spread rate is more than SARS.
#coronavirus #CoronavirusOutbreak",Neutral
5054,#Coronavirus be like: ?????? https://t.co/S5H5xYFEa5,Negative
5055,"According to #FakeNews #CNN, the real concern about the #coronavirus is not the potential for a global pandemic, itÕs the fact there are too many white people trying to stop it. ???????? https://t.co/gJSKWrNeutralJ0Positive",Negative
5056,This is crazy ?? #coronavirus,Negative
5057,"Air India's jumbo B747 plane, evacuated PositiveNeutral4 Indians from #coronavirus hit Wuhan. The evacuees comprised Positive minors, NeutralNegativeNegative students &amp; NegativeNegative0 working professionals'
Huge &amp; commendable operation done successfully ?? @narendramodi @airindiain @DrSJaishankar 
#Wuhan
https://t.co/BePw7BF8xT",Neutral
5058,"?? New Podcast! ""KK: Kal Korff - China's Coronavirus Outbreak"" on @Spreaker #canada #chinas #coronavirus #hygiene #india #kal #korff #korner #niagara #nrtv #ontario #outbreak #rel_mar #xzbn https://t.co/WMt5Gz6XHP",Positive
5059,We Sent #TYVEK suits today! #love to #Wuhan ????#help #stop the #outbreak of #Coronavirus https://t.co/nZRq7iHLvA,Negative
5060,How DEADLY is the Coronavirus! ?? https://t.co/IlcFuHyKWY LIKE COMMENT SUBSCRIBE SHOW SOME LOVE ?? #coronavirus #coronarvirus  #coronarovirus #Fast9 #Brexit #BrexitReality #ImpeachmentHearing #IamEuropean #BrexitCelebration #LateLateShow #MUFC #nirbhayabetrayed #NotMyBrexit https://t.co/NegativeGf4xVURpk,Neutral
506Negative,"??#China reports another leap in #coronavirus cases, now totaling ~NegativeNeutral,000 globally with Neutral59 deaths. Many more #Neutral0Negative9n_CoV cases likely were not detected/reported. https://t.co/iJiBejGudw",Positive
506Neutral,"??Fight The Virus??
#Coronavirus
@CValdizan https://t.co/9bKnS9bNmi",Positive
506Positive,"??????

""How bad will the #coronavirus outbreak get? Here Are 6 Key Factors.""",Neutral
5064,"Please read. #Communism #died long before #Coronavirus appeared. ??
 Homeopathy effective in prevention of novel coronavirus infections: @moayush | India News - Times of India https://t.co/OyafM8Nxb6",Negative
5065,"??#BreakingNews 
#LASTUPDATE #coronavirus????
Friday 0Negative/PositiveNegative
Negative0.00 pm (Mexico City timezone)

NegativeNegative8NeutralNegative cases 
Neutral59 deaths 
Neutral45 discharged from hospitals after recovery

#WuhanVirus #WuhanCoronavirus #WuhanChina #WuhanLockDown #Wuhanpnemonia #ChinaVirus #ChinaCoronaVirus",Positive
5066,"The good news is, the forsythia works. ??
#coronavirus",Negative
5067,If worst comes to worst with this #coronavirus at least we can fight it with the regular can of #Lysol. It says so on the can ???????,Neutral
5068,"China Once Said ""Niqaab Is Banned"" Now Chinese are wearing Masks same as ""Niqaab"" 
Power of ALLAH??
 #coronavirus https://t.co/kFlu8xWocK",Negative
5069,"What if China say Gau mutra is necessary for #Coronavirus. 

PEACEFUL ke sath sath kuch Liberals b tapak jayenge ??

#saheenbaghprotest
#BudgetNeutral0Neutral0",Negative
5070,You know People are Panicking about #CoronaVirus  when you see #coronarovirus #coronarvirus #coronoravirus trending ???? calm down people https://t.co/I8womXkoyx,Negative
507Negative,"They will do anything for views. ???? @YouTube @instagram  #Vloggers are posing in masks to mine the #Coronavirus for all the clicks they can get, provoking a wave of criticism.  #RT",Neutral
507Neutral,"Moving to Antarctica is looking like a pretty good idea right about now... ?? 

#coronavirus #Neutral0Negative9nCoV #plague https://t.co/ajorsmLr6Negative",Negative
507Positive,"Hell is a place too good for this bastards! ??????

#Coronavirus - Cats and dogs Ôthrown from tower blocksÕ in China after fake news rumours animals are causing spread 

https://t.co/oaRN8bVkLM",Neutral
5074,"??BREAKING: ??A group of Indian scientists have discovered that Wuhan #Coronavirus has been engineered with AIDS like insertions.??

This to me means it was produced in a Laboratory.",Neutral
5075,#QANTAS staying on #prozac until Feb 9 just in case #coronavirus is #fakenews &amp; the #WHO are mistaken &amp; been listening to Karen on #Facebook &amp; then &amp; only then theyÕll give #China a miss. ??,Neutral
